Date of Interview,Client name,Industry,Location,position,skillset,Interview Type,Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,necessary_permission,unscheduled_meetings,followup_3hours_call,alternative_number,resume_printout_JD,venue_details,shared_call_letter,Expected Attendance,Marital Status
21,7,5,2,0,63,1,1,2,4,4,17,1,1,1,1,1,1,1,1,1
21,7,5,2,0,63,1,1,2,1,4,33,1,1,1,1,1,1,1,1,1
21,7,5,2,0,63,1,1,2,2,4,8,1,1,0,1,0,1,1,0,1
21,7,5,2,0,63,1,1,2,1,4,8,1,1,1,0,1,1,1,0,0
21,1,4,4,0,63,1,1,4,3,3,15,1,1,1,1,1,1,1,1,1
21,1,4,4,0,63,1,1,4,3,3,15,1,1,1,1,1,1,1,1,1
21,1,4,4,0,63,1,0,4,3,3,26,1,1,1,1,1,1,1,1,1
21,1,4,4,0,63,1,1,4,3,3,14,1,1,1,1,1,1,1,1,1
21,1,4,4,0,63,1,0,4,3,3,14,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,0,1,1,1,34,0,1,0,0,1,1,1,0,1
35,12,4,1,0,63,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,34,0,1,1,1,1,1,0,0,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,0,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,0,1,1,1,34,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,0,1,1,1,6,0,1,1,0,1,1,1,0,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,34,0,1,1,1,1,1,0,0,1
35,12,4,1,0,63,1,1,1,1,1,34,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1
35,12,4,1,0,63,1,1,1,1,1,34,1,1,1,0,0,1,1,0,1
35,12,4,1,0,63,1,1,1,1,1,10,0,0,1,1,1,1,0,0,1
35,12,4,1,0,63,1,1,1,1,1,6,0,1,1,1,1,1,0,0,0
35,12,4,1,0,63,1,1,1,1,1,6,0,1,1,1,0,1,0,0,1
48,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
48,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
48,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
48,10,0,2,0,63,1,0,2,2,2,11,1,1,1,0,1,1,0,0,1
48,10,0,2,0,63,1,1,2,2,2,33,1,1,1,1,1,1,1,1,0
48,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
48,10,0,2,0,63,1,1,2,2,2,8,1,1,1,0,1,0,1,0,0
48,10,0,2,0,63,1,1,2,2,2,30,1,1,1,1,1,1,1,1,1
69,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
69,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
69,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
69,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
69,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,0,1,0,0
69,10,0,2,0,63,1,0,2,2,2,31,1,1,1,1,1,1,1,1,1
69,10,0,2,0,63,1,0,2,2,2,33,1,1,1,0,0,1,1,0,0
69,10,0,2,0,63,1,1,2,2,2,11,1,1,1,1,1,1,1,1,1
69,10,0,2,0,63,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
69,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
69,10,0,2,0,63,1,0,2,2,2,8,1,1,1,1,1,0,0,0,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,23,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,33,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
